iter	Logloss
0	0.3965933054
1	0.3045204055
2	0.2774395593
3	0.2676222824
4	0.2628200273
5	0.2606444734
6	0.2594904499
7	0.258241774
8	0.2570736118
9	0.2561910816
10	0.2556105559
11	0.2552871677
12	0.2549034412
13	0.2544986831
14	0.254189543
15	0.2539343337
16	0.2536446457
17	0.2534388301
18	0.2531689827
19	0.2530822045
20	0.252957365
21	0.2527199875
22	0.2524766793
23	0.2522424195
24	0.2517860551
25	0.251466297
26	0.2513079042
27	0.2510820105
28	0.2509473691
29	0.2507699185
30	0.2504905346
31	0.2503071436
32	0.250233145
33	0.2500451085
34	0.2498383542
35	0.2497607753
36	0.2496024564
37	0.2494186904
38	0.2493091038
39	0.2491189251
40	0.2489714055
41	0.2487755124
42	0.2486336823
43	0.2484593182
44	0.2481930821
45	0.2479108025
46	0.2477251465
47	0.2475167239
48	0.2473936786
49	0.24717029
50	0.2470116806
51	0.2468805465
52	0.2467448534
53	0.246616974
54	0.2464690206
55	0.2463218936
56	0.2461628913
57	0.2460481033
58	0.2458455099
59	0.2456735516
60	0.2455103433
61	0.2453441112
62	0.2451126712
63	0.2449271898
64	0.2447521738
65	0.2445795952
66	0.2444351296
67	0.2443003281
68	0.2440457194
69	0.2439430972
70	0.2438628033
71	0.2436855524
72	0.243566134
73	0.2433476776
74	0.2431298166
75	0.2429806415
76	0.2428522001
77	0.2426910846
78	0.2425676454
79	0.2424775565
80	0.2422874568
81	0.242133764
82	0.2419267296
83	0.2418042779
84	0.2416646369
85	0.2415644358
86	0.2413431851
87	0.2412799485
88	0.2411989735
89	0.2409951887
90	0.2408977002
91	0.240682328
92	0.2405293493
93	0.2404305087
94	0.2402256831
95	0.2400716181
96	0.2398960236
97	0.2397380284
98	0.2395969696
99	0.2394925408
100	0.2394155289
101	0.2392856818
102	0.2391667897
103	0.2390983359
104	0.2389372959
105	0.2387593888
106	0.2385907291
107	0.238463484
108	0.2383220394
109	0.2381528996
110	0.2379777463
111	0.2378292125
112	0.237718624
113	0.237558297
114	0.2374478186
115	0.2373099758
116	0.2371921306
117	0.2369992762
118	0.2368342861
119	0.2367089074
120	0.2364348954
121	0.2363360847
122	0.2361632446
123	0.2361185403
124	0.236007873
125	0.2359261638
126	0.2357724255
127	0.2356851494
128	0.2355940178
129	0.2355001134
130	0.2354214932
131	0.2353316312
132	0.2352337187
133	0.2351319825
134	0.2350274004
135	0.2349165725
136	0.2347809414
137	0.234713946
138	0.234612975
139	0.2344740935
140	0.2344214105
141	0.2343133841
142	0.2341086606
143	0.2339627543
144	0.233810883
145	0.2336736486
146	0.233549534
147	0.233448438
148	0.2332710353
149	0.2331903218
150	0.2331096017
151	0.23303253
152	0.2328665181
153	0.232690335
154	0.2325315732
155	0.2323946314
156	0.2322672671
157	0.2321932221
158	0.2320891951
159	0.2319240962
160	0.2318274887
161	0.2316517538
162	0.2314921589
163	0.2313931152
164	0.2312354822
165	0.2311068488
166	0.2309755019
167	0.2308548827
168	0.2307735272
169	0.2306950589
170	0.2305184997
171	0.230365941
172	0.2302300078
173	0.2301044152
174	0.229881265
175	0.2298203326
176	0.2297021663
177	0.229573946
178	0.2294739848
179	0.2293995476
180	0.2293215217
181	0.2292204038
182	0.229099621
183	0.2289694164
184	0.2288488583
185	0.22876266
186	0.2286623411
187	0.2284680387
188	0.2283536605
189	0.2281768012
190	0.2280317589
191	0.2278618974
192	0.2276352906
193	0.2274712184
194	0.2274462324
195	0.2273765196
196	0.2272193493
197	0.2270600601
198	0.2269277834
199	0.2267683526
